specimen,start_date,end_date,start_distance_mm,end_distance_mm,true_spike_count,peakID,identified_spike_count
G728,2022-03-01,2022-04-24,2.55184249366336,7.743397821602245,0,peakID_4,3
G728,2022-04-24,2022-10-11,7.743397821602245,22.59320513698969,7,peakID_1,2
G728,2022-04-24,2022-10-11,7.743397821602245,22.59320513698969,7,peakID_2,2
G728,2022-04-24,2022-10-11,7.743397821602245,22.59320513698969,7,peakID_3,1
G728,2022-04-24,2022-10-11,7.743397821602245,22.59320513698969,7,peakID_4,2
G779,2022-01-19,2022-03-01,0.5339926869550405,1.278442130206652,1,peakID_1,0
G779,2022-01-19,2022-03-01,0.5339926869550405,1.278442130206652,1,peakID_2,0
G779,2022-01-19,2022-03-01,0.5339926869550405,1.278442130206652,1,peakID_3,0
G779,2022-01-19,2022-03-01,0.5339926869550405,1.278442130206652,1,peakID_4,0
G779,2022-03-01,2022-04-24,1.278442130206652,6.195726610631779,0,peakID_1,3
G779,2022-03-01,2022-04-24,1.278442130206652,6.195726610631779,0,peakID_2,2
G779,2022-03-01,2022-04-24,1.278442130206652,6.195726610631779,0,peakID_3,3
G779,2022-03-01,2022-04-24,1.278442130206652,6.195726610631779,0,peakID_4,3
G779,2022-04-24,2022-10-11,6.195726610631779,19.360727291291898,7,peakID_1,3
G779,2022-04-24,2022-10-11,6.195726610631779,19.360727291291898,7,peakID_2,3
G779,2022-04-24,2022-10-11,6.195726610631779,19.360727291291898,7,peakID_3,2
G779,2022-04-24,2022-10-11,6.195726610631779,19.360727291291898,7,peakID_4,3
B255,2022-06-01,2022-10-11,6.136954286164552,28.11780363690956,4,peakID_1,3
B255,2022-06-01,2022-10-11,6.136954286164552,28.11780363690956,4,peakID_2,2
B255,2022-06-01,2022-10-11,6.136954286164552,28.11780363690956,4,peakID_3,3
B255,2022-06-01,2022-10-11,6.136954286164552,28.11780363690956,4,peakID_4,3
