file,specimen,treatment,peakID,peak_interval,depth
G668_sub_peakid.csv,G668,subtidal,peakID_2,peak 6,1359.334727
G668_sub_peakid.csv,G668,subtidal,peakID_2,interval 5,2359.235999
G668_sub_peakid.csv,G668,subtidal,peakID_2,peak 5,2902.003073
G668_sub_peakid.csv,G668,subtidal,peakID_2,interval 4,3093.774832
G668_sub_peakid.csv,G668,subtidal,peakID_2,peak 4,3580.354572
G668_sub_peakid.csv,G668,subtidal,peakID_2,interval 3,4054.7480580000006
G668_sub_peakid.csv,G668,subtidal,peakID_2,peak 3,4936.161787999999
G668_sub_peakid.csv,G668,subtidal,peakID_2,interval 2,5501.873557999999
G668_sub_peakid.csv,G668,subtidal,peakID_2,peak 2,6529.863406
G668_sub_peakid.csv,G668,subtidal,peakID_2,interval 1,6629.878829
G668_sub_peakid.csv,G668,subtidal,peakID_2,peak 1,7952.219999000001
G668_sub_peakid.csv,G668,subtidal,peakID_2,interval 0,8052.252032
G668_sub_peakid.csv,G668,subtidal,peakID_3,interval 7,0.0
G668_sub_peakid.csv,G668,subtidal,peakID_3,peak 7,802.1555649999999
G668_sub_peakid.csv,G668,subtidal,peakID_3,interval 6,1117.743205
G668_sub_peakid.csv,G668,subtidal,peakID_3,peak 6,1359.334727
G668_sub_peakid.csv,G668,subtidal,peakID_3,peak 5,2359.235999
G668_sub_peakid.csv,G668,subtidal,peakID_3,interval 4,2567.077111
G668_sub_peakid.csv,G668,subtidal,peakID_3,peak 4,2902.003073
G668_sub_peakid.csv,G668,subtidal,peakID_3,interval 3,3093.774832
G668_sub_peakid.csv,G668,subtidal,peakID_3,peak 3,3580.354572
G668_sub_peakid.csv,G668,subtidal,peakID_3,interval 2,4054.7480580000006
G668_sub_peakid.csv,G668,subtidal,peakID_3,peak 2,4936.161787999999
G668_sub_peakid.csv,G668,subtidal,peakID_3,interval 1,5501.873557999999
G668_sub_peakid.csv,G668,subtidal,peakID_3,peak 1,5744.354724
G668_sub_peakid.csv,G668,subtidal,peakID_3,interval 0,6744.364568
G668_sub_peakid.csv,G668,subtidal,peakID_4,interval 7,0.0
G668_sub_peakid.csv,G668,subtidal,peakID_4,peak 7,802.1555649999999
G668_sub_peakid.csv,G668,subtidal,peakID_4,interval 6,1117.743205
G668_sub_peakid.csv,G668,subtidal,peakID_4,peak 6,1359.334727
G668_sub_peakid.csv,G668,subtidal,peakID_4,peak 5,2359.235999
G668_sub_peakid.csv,G668,subtidal,peakID_4,interval 4,2567.077111
G668_sub_peakid.csv,G668,subtidal,peakID_4,peak 4,2902.003073
G668_sub_peakid.csv,G668,subtidal,peakID_4,interval 3,3093.774832
G668_sub_peakid.csv,G668,subtidal,peakID_4,peak 3,3887.187056
G668_sub_peakid.csv,G668,subtidal,peakID_4,interval 2,4068.239982
G668_sub_peakid.csv,G668,subtidal,peakID_4,peak 2,4936.161787999999
G668_sub_peakid.csv,G668,subtidal,peakID_4,interval 1,5501.873557999999
G668_sub_peakid.csv,G668,subtidal,peakID_4,peak 1,6529.863406
G668_sub_peakid.csv,G668,subtidal,peakID_4,interval 0,6629.878829
G691_int_peakid.csv,G691,intertidal,peakID_1,interval 7,0.435766
G691_int_peakid.csv,G691,intertidal,peakID_1,peak 7,858.8194129999999
G691_int_peakid.csv,G691,intertidal,peakID_1,interval 6,958.759799
G691_int_peakid.csv,G691,intertidal,peakID_1,peak 6,1824.407002
G691_int_peakid.csv,G691,intertidal,peakID_1,interval 5,2765.045257
G691_int_peakid.csv,G691,intertidal,peakID_1,peak 5,2920.255306
G691_int_peakid.csv,G691,intertidal,peakID_1,interval 4,3919.836695
G691_int_peakid.csv,G691,intertidal,peakID_1,peak 4,4750.933623
G691_int_peakid.csv,G691,intertidal,peakID_1,peak 3,5006.211519
G691_int_peakid.csv,G691,intertidal,peakID_1,interval 2,5358.227164
G691_int_peakid.csv,G691,intertidal,peakID_1,peak 2,9965.841078
G691_int_peakid.csv,G691,intertidal,peakID_1,interval 1,10065.91749
G691_int_peakid.csv,G691,intertidal,peakID_1,peak 1,11355.57268
G691_int_peakid.csv,G691,intertidal,peakID_1,interval 0,12355.91248
G691_int_peakid.csv,G691,intertidal,peakID_2,interval 7,0.435766
G691_int_peakid.csv,G691,intertidal,peakID_2,peak 7,500.7454
G691_int_peakid.csv,G691,intertidal,peakID_2,interval 6,1169.1146720000002
G691_int_peakid.csv,G691,intertidal,peakID_2,peak 6,3242.507888
G691_int_peakid.csv,G691,intertidal,peakID_2,peak 5,3391.269448
G691_int_peakid.csv,G691,intertidal,peakID_2,interval 4,3919.836695
G691_int_peakid.csv,G691,intertidal,peakID_2,peak 4,4358.20468
G691_int_peakid.csv,G691,intertidal,peakID_2,interval 3,5358.227164
G691_int_peakid.csv,G691,intertidal,peakID_2,peak 3,7532.687210999999
G691_int_peakid.csv,G691,intertidal,peakID_2,interval 2,8532.515457000001
G691_int_peakid.csv,G691,intertidal,peakID_2,peak 2,9590.098906
G691_int_peakid.csv,G691,intertidal,peakID_2,interval 1,9690.091255
G691_int_peakid.csv,G691,intertidal,peakID_2,peak 1,11135.91408
G691_int_peakid.csv,G691,intertidal,peakID_2,interval 0,12064.66198
G691_int_peakid.csv,G691,intertidal,peakID_3,interval 7,0.435766
